,Job_id,Job_title,Employement_num,Employment_per_1000_jobs,Median_hourly_wage,Mean_hourly_wage,Annual_mean_wage,Job_Location,Job_Tax
0,1,Management Occupations,"89,09,910",63.242,49.25,59.31,"1,23,370",Alabama,1
1,2,Top Executives,"32,29,990",22.926,47.46,57.94,"1,20,520",Alabama,1
2,3,Chief Executives,"2,00,480",1.423,86.31,102.41,"2,13,020",Alabama,1
3,4,General and Operations Managers,"29,84,920",21.187,47.1,55.41,"1,15,250",Alabama,1
4,5,Legislators,"44,590",0.316,30.64,35.64,"57,110",Alabama,1
5,6,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","8,38,050",5.948,61.62,69.77,"1,45,130",Alabama,1
6,7,Advertising and Promotions Managers,"22,520",0.16,61.13,68.68,"1,42,860",Alabama,1
7,8,Marketing and Sales Managers,"7,32,490",5.199,62.18,70.48,"1,46,600",Alabama,1
8,9,Marketing Managers,"2,78,690",1.978,64.92,73.77,"1,53,440",Alabama,1
9,10,Sales Managers,"4,53,800",3.221,61.3,68.46,"1,42,390",Alabama,1
10,11,Public Relations and Fundraising Managers,"83,040",0.589,57.62,63.85,"1,32,800",Alabama,1
11,12,Public Relations Managers,"59,850",0.425,60.47,66.35,"1,38,000",Alabama,1
12,13,Fundraising Managers,"23,190",0.165,48.47,57.4,"1,19,400",Alabama,1
13,14,Operations Specialties Managers,"21,16,020",15.019,61.13,67.26,"1,39,900",Alabama,1
14,15,Administrative Services and Facilities Managers,"3,25,850",2.313,47.73,52.69,"1,09,590",Alabama,1
15,16,Administrative Services Managers,"2,24,620",1.594,48.16,54.34,"1,13,030",Alabama,1
16,17,Facilities Managers,"1,01,230",0.719,47.08,49.03,"1,01,970",Alabama,1
17,18,Computer and Information Systems Managers,"4,85,190",3.444,76.45,78.33,"1,62,930",Alabama,1
18,19,Financial Managers,"6,81,070",4.834,63.32,73.78,"1,53,460",Alabama,1
19,20,Industrial Production Managers,"1,92,270",1.365,49.59,56.62,"1,17,780",Alabama,1
20,21,Purchasing Managers,"69,310",0.492,61.13,64.71,"1,34,590",Alabama,1
21,22,"Transportation, Storage, and Distribution Managers","1,44,640",1.027,47.22,50.76,"1,05,580",Alabama,1
22,23,Compensation and Benefits Managers,"15,330",0.109,61.31,67.05,"1,39,470",Alabama,1
23,24,Human Resources Managers,"1,66,530",1.182,60.69,65.67,"1,36,590",Alabama,1
24,25,Training and Development Managers,"35,830",0.254,57.76,61.92,"1,28,800",Alabama,1
25,26,Other Management Occupations,"27,25,860",19.348,46.94,51.55,"1,07,230",Alabama,1
26,27,"Farmers, Ranchers, and Other Agricultural Managers","5,220",0.037,35.12,37.71,"78,440",Alabama,1
27,28,Construction Managers,"2,84,750",2.021,47.55,52.02,"1,08,210",Alabama,1
28,29,Education and Childcare Administrators,"5,37,100",3.812,45.68,47.73,"99,280",Alabama,1
29,30,"Education and Childcare Administrators, Preschool and Daycare","56,430",0.401,22.75,25.87,"53,800",Alabama,1
30,31,"Education Administrators, Kindergarten through Secondary","2,74,710",1.95,30.64,37.64,"1,02,650",Alabama,1
31,32,"Education Administrators, Postsecondary","1,55,990",1.107,46.59,53.49,"1,11,260",Alabama,1
32,33,"Education Administrators, All Other","49,970",0.355,43.54,45.54,"94,730",Alabama,1
33,34,Architectural and Engineering Managers,"1,87,100",1.328,73.25,76.43,"1,58,970",Alabama,1
34,35,Food Service Managers,"2,10,680",1.495,28.58,30.75,"63,970",Alabama,1
35,36,Entertainment and Recreation Managers,"21,460",0.152,30.42,36.75,"76,430",Alabama,1
36,37,Gambling Managers,"3,660",0.026,36.98,42.88,"89,190",Alabama,1
37,38,"Entertainment and Recreation Managers, Except Gambling","17,800",0.126,29.81,35.48,"73,810",Alabama,1
38,39,Lodging Managers,"35,920",0.255,28.57,32.58,"67,770",Alabama,1
39,40,Medical and Health Services Managers,"4,36,770",3.1,48.72,57.61,"1,19,840",Alabama,1
40,41,Natural Sciences Managers,"74,760",0.531,66.3,75.05,"1,56,110",Alabama,1
41,42,Postmasters and Mail Superintendents,"12,750",0.09,38.58,39.34,"81,820",Alabama,1
42,43,"Property, Real Estate, and Community Association Managers","2,34,680",1.666,28.47,33.67,"70,030",Alabama,1
43,44,Social and Community Service Managers,"1,56,400",1.11,35.58,36.92,"76,790",Alabama,1
44,45,Emergency Management Directors,"10,320",0.073,36.89,40.77,"84,800",Alabama,1
45,46,Personal Service Managers,"20,060",0.142,29.02,35.75,"74,360",Alabama,1
46,47,Funeral Home Managers,"12,710",0.09,35.58,39.86,"82,900",Alabama,1
47,48,"Personal Service Managers, All Other","7,350",0.052,29.02,28.65,"59,580",Alabama,1
48,49,"Managers, All Other","4,97,890",3.534,59.93,62.36,"1,29,710",Alabama,1
49,50,Business and Financial Operations Occupations,"90,53,790",64.263,36.81,39.72,"82,610",Alabama,1
50,51,Accountant,"61,52,960",43.673,36.56,38.64,"80,380",Alabama,1
51,52,Attorney,"12,480",0.089,37.7,55.97,"1,16,410",Alabama,1
52,53,Truck Driver,"4,39,020",3.116,30.51,34.88,"72,540",Alabama,1
53,54,Data Analyst,"2,89,580",2.055,31.11,34.06,"70,850",Alabama,1
54,55,Management Consultant,"2,78,140",1.974,31.29,34.11,"70,960",Alabama,1
55,56,Engineer,"11,430",0.081,30.13,32.78,"68,180",Alabama,1
56,57,Teacher,"3,34,340",2.373,34.45,36.45,"75,810",Alabama,1
57,58,Psychologist,"2,08,950",1.483,31.33,35.45,"73,740",Alabama,1
58,59,Stock Broker,"8,05,080",5.714,30.04,34.24,"71,210",Alabama,1
59,60,Electrician,"7,40,830",5.258,29.95,34,"70,720",Alabama,1
60,61,Pilot,440,0.003,22.97,26.16,"54,400",Alabama,1
61,62,Investment Banker,"63,810",0.453,37.03,37.05,"77,070",Alabama,1
62,63,Financial Advisor,"9,33,180",6.624,39.43,45.45,"94,530",Alabama,1
63,64,Police,"1,89,320",1.344,37.03,38.09,"79,230",Alabama,1
64,65,Registered Nurse,"7,43,860",5.28,45.43,47.32,"98,420",Alabama,1
65,66,Management Occupations,"7,68,450",5.454,44.71,48.33,"1,00,530",Alaska,2
66,67,Top Executives,"98,150",0.697,23.79,27.81,"57,850",Alaska,2
67,68,Chief Executives,"82,080",0.583,29.17,31.19,"64,870",Alaska,2
68,69,General and Operations Managers,"87,750",0.623,30.83,35.49,"73,810",Alaska,2
69,70,Legislators,"3,36,030",2.385,29.6,32.51,"67,620",Alaska,2
70,71,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","7,27,540",5.164,30.73,36.58,"76,080",Alaska,2
71,72,Advertising and Promotions Managers,"10,30,330",7.313,35.9,38.1,"79,240",Alaska,2
72,73,Marketing and Sales Managers,"29,00,840",20.59,37.16,41.99,"87,350",Alaska,2
73,74,Marketing Managers,"13,18,550",9.359,37.14,40.37,"83,980",Alaska,2
74,75,Sales Managers,"58,340",0.414,29.49,33.68,"70,050",Alaska,2
75,76,Public Relations and Fundraising Managers,"47,440",0.337,38.43,40.5,"84,240",Alaska,2
76,77,Public Relations Managers,"68,770",0.488,37.23,42.32,"88,030",Alaska,2
77,78,Fundraising Managers,"7,16,930",5.089,39.29,51.13,"1,06,340",Alaska,2
78,79,Operations Specialties Managers,"2,91,880",2.072,44.03,49.53,"1,03,020",Alaska,2
79,80,Administrative Services and Facilities Managers,"2,63,030",1.867,45.27,57.67,"1,19,960",Alaska,2
80,81,Administrative Services Managers,"1,07,690",0.764,36.73,38.43,"79,940",Alaska,2
81,82,Facilities Managers,"54,320",0.386,48.08,53.18,"1,10,610",Alaska,2
82,83,Computer and Information Systems Managers,"60,750",0.431,39.14,46.24,"96,180",Alaska,2
83,84,Financial Managers,"3,71,400",2.636,29.82,37.52,"78,040",Alaska,2
84,85,Industrial Production Managers,"31,230",0.222,22.87,24.25,"50,430",Alaska,2
85,86,Purchasing Managers,"3,40,170",2.414,30.47,38.74,"80,570",Alaska,2
86,87,"Transportation, Storage, and Distribution Managers","1,35,460",0.961,23.51,26.8,"55,750",Alaska,2
87,88,Compensation and Benefits Managers,"52,270",0.371,27.3,30.38,"63,200",Alaska,2
88,89,Human Resources Managers,"83,190",0.59,22.26,24.56,"51,080",Alaska,2
89,90,Training and Development Managers,"1,23,200",0.874,35.21,38.64,"80,370",Alaska,2
90,91,Other Management Occupations,"46,54,750",33.039,46.9,48.01,"99,860",Alaska,2
91,92,"Farmers, Ranchers, and Other Agricultural Managers","43,89,910",31.159,46.84,47.89,"99,620",Alaska,2
92,93,Construction Managers,"6,62,370",4.701,47.92,50.4,"1,04,840",Alaska,2
93,94,Education and Childcare Administrators,"5,05,150",3.586,47.73,49.14,"1,02,210",Alaska,2
94,95,"Education and Childcare Administrators, Preschool and Daycare","1,57,220",1.116,49.33,54.46,"1,13,270",Alaska,2
95,96,"Education Administrators, Kindergarten through Secondary","30,840",0.219,63.22,68.58,"1,42,650",Alaska,2
96,97,"Education Administrators, Postsecondary","8,30,510",5.895,27.84,29.11,"60,550",Alaska,2
97,98,"Education Administrators, All Other","1,76,200",1.251,30.17,34.3,"71,350",Alaska,2
98,99,Architectural and Engineering Managers,"6,54,310",4.644,23.93,27.72,"57,650",Alaska,2
99,100,Food Service Managers,"6,21,900",4.414,47.44,49.25,"1,02,440",Alaska,2
100,101,Entertainment and Recreation Managers,"1,68,830",1.198,57.94,58.01,"1,20,650",Alaska,2
101,102,Gambling Managers,"85,870",0.609,46.5,46.42,"96,550",Alaska,2
