tax_id,location,tax_rate
1,Alabama,4.00%
2,Alaska,0.00%
3,Arizona,5.60%
4,Arkansas,6.50%
5,California,7.25%
6,Colorado,2.90%
7,Connecticut,6.35%
8,Delaware,0.00%
9,Florida,6.00%
10,Georgia,4.00%
11,Hawaii,4.00%
12,Idaho,6.00%
13,Indiana,6.25%
14,Iowa,7.00%
15,Kansas,6.00%
16,Kentucky,6.50%
17,Louisiana,6.00%
18,Maine,4.45%
19,Maryland,5.50%
20,Massachusetts,6.00%
21,Michigan,6.25%
22,Minnesota,6.00%
23,Mississippi,6.88%
24,Missouri,7.00%
25,Montana,4.23%
26,Nebraska,5.50%
27,Nevada,6.85%
28,New Hampshire,0.00%
29,New Jersey,6.63%
30,New Mexico,5.13%
31,New York,4.00%
32,North Carolina,4.75%
33,North Dakota,5.00%
34,Ohio,5.75%
35,Oklahoma,4.50%
36,Oregon,0.00%
37,Pennsylvania,6.00%
38,Rhode Island,7.00%
39,South Carolina,6.00%
40,South Dakota,4.50%
41,Tennessee,7.00%
42,Texas,6.25%
43,Utah,6.10%
44,Vermont,6.00%
45,Virginia,5.30%
46,Washington,6.50%
47,West Virginia,6.00%
48,Wisconsin,5.00%
49,Wyoming,4.00%
